Job,Machine,Start,End,Length
D,M001,2,3,1
F,M001,2,3,1
B,M001,3,4,1
H,M001,3,4,1
B,M001,4,5,1
D,M001,4,5,1
A,M001,5,6,1
L,M001,5,6,1
D,M001,6,7,1
H,M001,6,7,1
I,M001,7,8,1
Q,M001,7,8,1
E,M001,8,9,1
U,M001,8,9,1
H,M001,9,10,1
U,M001,9,10,1
H,M001,10,11,1
T,M001,10,11,1
G,M001,11,12,1
L,M001,11,12,1
AI,M001,12,13,1
V,M001,12,13,1
AD,M001,13,14,1
U,M001,13,14,1
AG,M001,14,15,1
P,M001,14,15,1
AJ,M001,15,16,1
U,M001,15,16,1
AM,M001,16,17,1
AQ,M001,16,17,1
AI,M001,17,18,1
AP,M001,17,18,1
AL,M001,18,19,1
AR,M001,18,19,1
AZ,M001,19,20,1
T,M001,19,20,1
AR,M001,20,21,1
BB,M001,20,21,1
AN,M001,21,22,1
BC,M001,21,22,1
AM,M001,22,23,1
AS,M001,22,23,1
BG,M001,23,24,1
BP,M001,23,24,1
AV,M001,24,25,1
BI,M001,24,25,1
AW,M001,25,26,1
BM,M001,25,26,1
BD,M001,26,27,1
BO,M001,26,27,1
BP,M001,27,28,1
BV,M001,27,28,1
AW,M001,28,29,1
BW,M001,28,29,1
AZ,M001,29,30,1
BZ,M001,29,30,1
BB,M001,30,31,1
CC,M001,30,31,1
BN,M001,31,32,1
CH,M001,31,32,1
BR,M001,32,33,1
BY,M001,32,33,1
CT,M001,33,34,1
CU,M001,33,34,1
CK,M001,34,35,1
CL,M001,34,35,1
BU,M001,35,36,1
CV,M001,35,36,1
CJ,M001,36,37,1
CO,M001,36,37,1
BU,M001,37,38,1
CT,M001,37,38,1
CR,M001,38,39,1
CT,M001,38,39,1
CP,M001,40,41,1
CT,M001,40,41,1
CO,M001,41,42,1
CV,M001,41,42,1
CR,M001,42,43,1
CT,M001,42,43,1
I,M002,6,7,1
M,M002,6,7,1
C,M002,7,8,1
J,M002,7,8,1
B,M002,8,9,1
H,M002,8,9,1
C,M002,9,10,1
G,M002,9,10,1
W,M002,10,11,1
Z,M002,10,11,1
P,M002,11,12,1
R,M002,11,12,1
J,M002,12,13,1
T,M002,12,13,1
AE,M002,13,14,1
W,M002,13,14,1
AF,M002,14,15,1
U,M002,14,15,1
AF,M002,15,16,1
P,M002,15,16,1
AH,M002,16,17,1
AP,M002,16,17,1
AJ,M002,17,18,1
AR,M002,17,18,1
AP,M002,20,21,1
AQ,M002,20,21,1
AQ,M002,22,23,1
BF,M002,22,23,1
AH,M002,23,24,1
AT,M002,23,24,1
AQ,M002,24,25,1
BM,M002,24,25,1
BI,M002,26,27,1
BM,M002,26,27,1
BK,M002,27,28,1
BO,M002,27,28,1
BU,M002,28,29,1
CA,M002,28,29,1
BK,M002,29,30,1
BT,M002,29,30,1
CA,M002,30,31,1
CJ,M002,30,31,1
BY,M002,31,32,1
CI,M002,31,32,1
BX,M002,32,33,1
CG,M002,32,33,1
BW,M002,33,34,1
CH,M002,33,34,1
BR,M002,34,35,1
CS,M002,34,35,1
CC,M002,36,37,1
CQ,M002,36,37,1
CN,M002,37,38,1
CV,M002,37,38,1
E,M003,6,7,1
J,M003,6,7,1
N,M003,7,8,1
R,M003,7,8,1
G,M003,8,9,1
L,M003,8,9,1
E,M003,9,10,1
I,M003,9,10,1
J,M003,10,11,1
Y,M003,10,11,1
I,M003,12,13,1
P,M003,12,13,1
AG,M003,13,14,1
S,M003,13,14,1
AE,M003,14,15,1
I,M003,14,15,1
AA,M003,15,16,1
AB,M003,15,16,1
AJ,M003,16,17,1
AK,M003,16,17,1
AQ,M003,17,18,1
AX,M003,17,18,1
AX,M003,20,21,1
BD,M003,20,21,1
AX,M003,22,23,1
BJ,M003,22,23,1
AP,M003,23,24,1
AX,M003,23,24,1
AY,M003,24,25,1
AZ,M003,24,25,1
BF,M003,26,27,1
BG,M003,26,27,1
BP,M003,28,29,1
BT,M003,28,29,1
BP,M003,29,30,1
BX,M003,29,30,1
BQ,M003,31,32,1
CK,M003,31,32,1
BQ,M003,32,33,1
CH,M003,32,33,1
BU,M003,33,34,1
BZ,M003,33,34,1
BU,M003,34,35,1
CU,M003,34,35,1
CN,M003,36,37,1
CU,M003,36,37,1
CI,M003,37,38,1
CO,M003,37,38,1
D,M004,7,8,1
E,M004,7,8,1
D,M004,8,9,1
Q,M004,8,9,1
K,M004,9,10,1
R,M004,9,10,1
L,M004,10,11,1
X,M004,10,11,1
S,M004,12,13,1
Z,M004,12,13,1
AA,M004,13,14,1
Z,M004,13,14,1
Q,M004,15,16,1
S,M004,15,16,1
AD,M004,16,17,1
AL,M004,16,17,1
AN,M004,17,18,1
AO,M004,17,18,1
AN,M004,20,21,1
BG,M004,20,21,1
AN,M004,22,23,1
BG,M004,22,23,1
BI,M004,23,24,1
BK,M004,23,24,1
BJ,M004,24,25,1
BP,M004,24,25,1
AY,M004,26,27,1
BT,M004,26,27,1
CD,M004,28,29,1
CF,M004,28,29,1
BI,M004,31,32,1
BT,M004,31,32,1
BS,M004,32,33,1
BZ,M004,32,33,1
BQ,M004,33,34,1
CL,M004,33,34,1
BR,M004,36,37,1
CV,M004,36,37,1
BX,M004,37,38,1
CJ,M004,37,38,1
O,M005,8,9,1
P,M005,8,9,1
Q,M005,10,11,1
R,M005,10,11,1
AB,M005,12,13,1
AF,M005,12,13,1
AG,M005,15,16,1
AO,M005,15,16,1
AF,M005,17,18,1
T,M005,17,18,1
AM,M005,20,21,1
AS,M005,20,21,1
AV,M005,22,23,1
BA,M005,22,23,1
BC,M005,24,25,1
BG,M005,24,25,1
BB,M005,28,29,1
BY,M005,28,29,1
BR,M005,31,32,1
BV,M005,31,32,1
BV,M005,32,33,1
CL,M005,32,33,1
CR,M005,36,37,1
CS,M005,36,37,1
CM,M005,37,38,1
CU,M005,37,38,1
G,M006,10,11,1
M,M006,10,11,1
AC,M006,12,13,1
G,M006,12,13,1
AM,M006,17,18,1
AU,M006,17,18,1
AG,M006,20,21,1
AZ,M006,20,21,1
AR,M006,22,23,1
BC,M006,22,23,1
AW,M006,24,25,1
BD,M006,24,25,1
BK,M006,28,29,1
BX,M006,28,29,1
BK,M006,31,32,1
CJ,M006,31,32,1
CN,M006,32,33,1
CO,M006,32,33,1
AG,M007,17,18,1
Z,M007,17,18,1
AH,M007,20,21,1
AL,M007,20,21,1
AP,M007,22,23,1
BD,M007,22,23,1
BL,M007,28,29,1
BN,M007,28,29,1
BH,M007,31,32,1
CL,M007,31,32,1
BN,M007,32,33,1
CJ,M007,32,33,1
AW,M008,20,21,1
T,M008,20,21,1
BI,M008,28,29,1
BS,M008,28,29,1
BT,M008,32,33,1
CE,M008,32,33,1
AY,M009,20,21,1
BE,M009,20,21,1
AZ,M009,28,29,1
CB,M009,28,29,1
BH,M009,32,33,1
BQ,M010,28,29,1
BR,M010,28,29,1
BH,M011,28,29,1
BM,M011,28,29,1
AY,M012,28,29,1
BZ,M012,28,29,1
BF,M013,28,29,1
BV,M013,28,29,1
